product_id;price;product;brand;unit_price;units;categories;discount;date
262427;2.99;DIA MARI MARINERA filetes de atún claro en aceite de oliva frasco 140 gr;DIA MARI MARINERA;21.36;€/Kg.28,50 €/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2023-03-26
151455;1.37;CESAR alimento para perros con pollo tarrina 150 gr;CESAR;9.13;€/Kg.;['Mascotas', 'Perros'];;2023-03-26
267005;2.9;ABSTRACTIO vino blanco sauvignon blanc botella 75 cl;ABSTRACTIO;3.87;€/l.;['Bodega', 'Vinos de mesa. sangrías y tintos de verano'];;2023-03-26
246619;3.19;PANTENE Pro-v champú suave y liso bote 225 ml;PANTENE;14.18;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Champús'];;2023-03-26
176887;1.0;ELPOZO salchichón extra en lonchas sobre 65 gr;ELPOZO;15.38;€/Kg.;['Frescos', 'Charcutería y quesos', 'Curados'];;2023-03-26
79739;2.59;CASTILLO DE VELASCO vino blanco garrafa 2 lt;CASTILLO DE VELASCO;1.3;€/l.;['Bodega', 'Vinos de mesa. sangrías y tintos de verano'];;2023-03-26
51713;0.95;DIA VEGECAMPO cebolla troceada bolsa 400 gr;DIA VEGECAMPO;2.38;€/Kg.;['Congelados', 'Verduras y hortalizas'];;2023-03-26
6847;2.19;YBARRA mayonesa frasco 400 ml;YBARRA;5.48;€/l.;['Despensa', 'Salsas', 'Mayonesa y otras salsas'];;2023-03-26
284716;2.4;CHUPA CHUPS sour lenguas bolsa 145 gr;CHUPA CHUPS;16.55;€/Kg.;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];;2023-03-26
275563;2.85;TULIPAN margarina con sal barqueta 400 gr;TULIPAN;7.13;€/Kg.;['Despensa', 'Lácteos y huevos', 'Mantequilla y margarina'];;2023-03-26
